Tip podataka,Veličina teksta,Dužina uzorka,Algoritam,Vrijeme (ms),Podudaranja,Memorija (KB),Tačnost
Čisti tekst,1000,3,Naivni,0.053,1,1.00,Da
Čisti tekst,1000,3,KMP,0.098,1,0.01,Da
Čisti tekst,1000,3,Rabin-Karp,0.097,1,32.00,Da
Čisti tekst,1000,3,Boyer-Moore,0.069,1,32.00,Da
Čisti tekst,1000,10,Naivni,0.076,1,1.00,Da
Čisti tekst,1000,10,KMP,0.147,1,0.04,Da
Čisti tekst,1000,10,Rabin-Karp,0.074,1,2.00,Da
Čisti tekst,1000,10,Boyer-Moore,0.028,1,1.00,Da
Čisti tekst,1000,20,Naivni,0.069,1,1.00,Da
Čisti tekst,1000,20,KMP,0.112,1,0.08,Da
Čisti tekst,1000,20,Rabin-Karp,0.059,1,2.00,Da
Čisti tekst,1000,20,Boyer-Moore,0.017,1,1.00,Da
Čisti tekst,10000,3,Naivni,0.605,1,1.00,Da
Čisti tekst,10000,3,KMP,1.090,1,0.01,Da
Čisti tekst,10000,3,Rabin-Karp,0.598,1,32.00,Da
Čisti tekst,10000,3,Boyer-Moore,0.562,1,128.00,Da
Čisti tekst,10000,10,Naivni,0.566,1,1.00,Da
Čisti tekst,10000,10,KMP,0.902,1,0.04,Da
Čisti tekst,10000,10,Rabin-Karp,0.469,1,2.00,Da
Čisti tekst,10000,10,Boyer-Moore,0.097,1,1.00,Da
Čisti tekst,10000,20,Naivni,0.493,1,1.00,Da
Čisti tekst,10000,20,KMP,0.830,1,0.08,Da
Čisti tekst,10000,20,Rabin-Karp,0.397,1,2.00,Da
Čisti tekst,10000,20,Boyer-Moore,0.048,1,1.00,Da
Čisti tekst,100000,3,Naivni,3.338,1,1.00,Da
Čisti tekst,100000,3,KMP,5.223,1,0.01,Da
Čisti tekst,100000,3,Rabin-Karp,2.357,1,2.00,Da
Čisti tekst,100000,3,Boyer-Moore,1.342,1,1.00,Da
Čisti tekst,100000,10,Naivni,2.225,1,1.00,Da
Čisti tekst,100000,10,KMP,3.909,1,0.04,Da
Čisti tekst,100000,10,Rabin-Karp,1.935,1,2.00,Da
Čisti tekst,100000,10,Boyer-Moore,0.375,1,1.00,Da
Čisti tekst,100000,20,Naivni,2.013,1,1.00,Da
Čisti tekst,100000,20,KMP,3.678,1,0.08,Da
Čisti tekst,100000,20,Rabin-Karp,1.885,1,2.00,Da
Čisti tekst,100000,20,Boyer-Moore,0.193,1,1.00,Da
Sistemski logovi,1000,3,Naivni,0.022,5,1.00,Da
Sistemski logovi,1000,3,KMP,0.039,5,0.01,Da
Sistemski logovi,1000,3,Rabin-Karp,0.020,5,2.00,Da
Sistemski logovi,1000,3,Boyer-Moore,0.016,5,1.00,Da
Sistemski logovi,1000,10,Naivni,0.023,6,1.00,Da
Sistemski logovi,1000,10,KMP,0.038,6,0.04,Da
Sistemski logovi,1000,10,Rabin-Karp,0.021,6,2.00,Da
Sistemski logovi,1000,10,Boyer-Moore,0.009,6,1.00,Da
Sistemski logovi,1000,20,Naivni,0.024,1,1.00,Da
Sistemski logovi,1000,20,KMP,0.040,1,0.08,Da
Sistemski logovi,1000,20,Rabin-Karp,0.019,1,2.00,Da
Sistemski logovi,1000,20,Boyer-Moore,0.006,1,1.00,Da
Sistemski logovi,10000,3,Naivni,0.217,54,1.00,Da
Sistemski logovi,10000,3,KMP,0.527,54,0.01,Da
Sistemski logovi,10000,3,Rabin-Karp,0.205,54,2.00,Da
Sistemski logovi,10000,3,Boyer-Moore,0.166,54,32.00,Da
Sistemski logovi,10000,10,Naivni,0.254,45,32.00,Da
Sistemski logovi,10000,10,KMP,0.392,45,0.04,Da
Sistemski logovi,10000,10,Rabin-Karp,0.217,45,2.00,Da
Sistemski logovi,10000,10,Boyer-Moore,0.056,45,1.00,Da
Sistemski logovi,10000,20,Naivni,0.230,62,1.00,Da
Sistemski logovi,10000,20,KMP,0.370,62,0.08,Da
Sistemski logovi,10000,20,Rabin-Karp,0.214,62,2.00,Da
Sistemski logovi,10000,20,Boyer-Moore,0.052,62,1.00,Da
Sistemski logovi,100000,3,Naivni,2.125,492,1.00,Da
Sistemski logovi,100000,3,KMP,3.628,492,0.01,Da
Sistemski logovi,100000,3,Rabin-Karp,1.984,492,2.00,Da
Sistemski logovi,100000,3,Boyer-Moore,1.260,492,1.00,Da
Sistemski logovi,100000,10,Naivni,2.004,1,1.00,Da
Sistemski logovi,100000,10,KMP,3.701,1,0.04,Da
Sistemski logovi,100000,10,Rabin-Karp,1.885,1,2.00,Da
Sistemski logovi,100000,10,Boyer-Moore,0.527,1,1.00,Da
Sistemski logovi,100000,20,Naivni,2.050,1,1.00,Da
Sistemski logovi,100000,20,KMP,3.720,1,0.08,Da
Sistemski logovi,100000,20,Rabin-Karp,1.833,1,2.00,Da
Sistemski logovi,100000,20,Boyer-Moore,0.311,1,1.00,Da
Mrežni paketi,1000,3,Naivni,0.021,1,1.00,Da
Mrežni paketi,1000,3,KMP,0.037,1,0.01,Da
Mrežni paketi,1000,3,Rabin-Karp,0.019,1,2.00,Da
Mrežni paketi,1000,3,Boyer-Moore,0.013,1,1.00,Da
Mrežni paketi,1000,10,Naivni,0.023,1,1.00,Da
Mrežni paketi,1000,10,KMP,0.037,1,0.04,Da
Mrežni paketi,1000,10,Rabin-Karp,0.019,1,2.00,Da
Mrežni paketi,1000,10,Boyer-Moore,0.006,1,1.00,Da
Mrežni paketi,1000,20,Naivni,0.020,1,1.00,Da
Mrežni paketi,1000,20,KMP,0.037,1,0.08,Da
Mrežni paketi,1000,20,Rabin-Karp,0.019,1,2.00,Da
Mrežni paketi,1000,20,Boyer-Moore,0.005,1,1.00,Da
Mrežni paketi,10000,3,Naivni,0.192,1,1.00,Da
Mrežni paketi,10000,3,KMP,0.357,1,0.01,Da
Mrežni paketi,10000,3,Rabin-Karp,0.185,1,2.00,Da
Mrežni paketi,10000,3,Boyer-Moore,0.110,1,1.00,Da
Mrežni paketi,10000,10,Naivni,0.202,1,1.00,Da
Mrežni paketi,10000,10,KMP,0.376,1,0.04,Da
Mrežni paketi,10000,10,Rabin-Karp,0.193,1,2.00,Da
Mrežni paketi,10000,10,Boyer-Moore,0.037,1,1.00,Da
Mrežni paketi,10000,20,Naivni,0.237,1,1.00,Da
Mrežni paketi,10000,20,KMP,0.372,1,0.08,Da
Mrežni paketi,10000,20,Rabin-Karp,0.186,1,2.00,Da
Mrežni paketi,10000,20,Boyer-Moore,0.020,1,1.00,Da
Mrežni paketi,100000,3,Naivni,1.915,1,1.00,Da
Mrežni paketi,100000,3,KMP,3.681,1,0.01,Da
Mrežni paketi,100000,3,Rabin-Karp,1.864,1,2.00,Da
Mrežni paketi,100000,3,Boyer-Moore,1.099,1,1.00,Da
Mrežni paketi,100000,10,Naivni,1.923,1,1.00,Da
Mrežni paketi,100000,10,KMP,3.668,1,0.04,Da
Mrežni paketi,100000,10,Rabin-Karp,1.889,1,2.00,Da
Mrežni paketi,100000,10,Boyer-Moore,0.329,1,1.00,Da
Mrežni paketi,100000,20,Naivni,1.931,1,1.00,Da
Mrežni paketi,100000,20,KMP,3.589,1,0.08,Da
Mrežni paketi,100000,20,Rabin-Karp,1.969,1,2.00,Da
Mrežni paketi,100000,20,Boyer-Moore,0.170,1,1.00,Da
Binarni uzorci,1000,3,Naivni,0.020,1,1.00,Da
Binarni uzorci,1000,3,KMP,0.037,1,0.01,Da
Binarni uzorci,1000,3,Rabin-Karp,0.019,1,2.00,Da
Binarni uzorci,1000,3,Boyer-Moore,0.014,1,1.00,Da
Binarni uzorci,1000,10,Naivni,0.020,1,1.00,Da
Binarni uzorci,1000,10,KMP,0.037,1,0.04,Da
Binarni uzorci,1000,10,Rabin-Karp,0.019,1,2.00,Da
Binarni uzorci,1000,10,Boyer-Moore,0.006,1,1.00,Da
Binarni uzorci,1000,20,Naivni,0.021,1,1.00,Da
Binarni uzorci,1000,20,KMP,0.037,1,0.08,Da
Binarni uzorci,1000,20,Rabin-Karp,0.019,1,2.00,Da
Binarni uzorci,1000,20,Boyer-Moore,0.005,1,1.00,Da
Binarni uzorci,10000,3,Naivni,0.192,1,1.00,Da
Binarni uzorci,10000,3,KMP,0.357,1,0.01,Da
Binarni uzorci,10000,3,Rabin-Karp,0.190,1,2.00,Da
Binarni uzorci,10000,3,Boyer-Moore,0.109,1,1.00,Da
Binarni uzorci,10000,10,Naivni,0.196,1,1.00,Da
Binarni uzorci,10000,10,KMP,0.367,1,0.04,Da
Binarni uzorci,10000,10,Rabin-Karp,0.191,1,2.00,Da
Binarni uzorci,10000,10,Boyer-Moore,0.040,1,1.00,Da
Binarni uzorci,10000,20,Naivni,0.192,1,1.00,Da
Binarni uzorci,10000,20,KMP,0.359,1,0.08,Da
Binarni uzorci,10000,20,Rabin-Karp,0.186,1,2.00,Da
Binarni uzorci,10000,20,Boyer-Moore,0.020,1,1.00,Da
Binarni uzorci,100000,3,Naivni,1.913,1,1.00,Da
Binarni uzorci,100000,3,KMP,3.684,1,0.01,Da
Binarni uzorci,100000,3,Rabin-Karp,1.858,1,2.00,Da
Binarni uzorci,100000,3,Boyer-Moore,1.086,1,1.00,Da
Binarni uzorci,100000,10,Naivni,1.940,1,1.00,Da
Binarni uzorci,100000,10,KMP,3.595,1,0.04,Da
Binarni uzorci,100000,10,Rabin-Karp,1.934,1,2.00,Da
Binarni uzorci,100000,10,Boyer-Moore,0.329,1,1.00,Da
Binarni uzorci,100000,20,Naivni,1.919,1,1.00,Da
Binarni uzorci,100000,20,KMP,3.668,1,0.08,Da
Binarni uzorci,100000,20,Rabin-Karp,1.866,1,2.00,Da
Binarni uzorci,100000,20,Boyer-Moore,0.169,1,1.00,Da
